index	monosaccharide	abbreviation	systematic_name	group	period	mass	formula	block	x	y	kegg	pubchem	chebi	glygen	glyconnect	glytoucan?
1	Glyceraldehyde	Gly	Glyceraldehyde	Aldose	Triose	90.08	C3H6O3	a	1	1	https://www.genome.jp/entry/C00577	https://pubchem.ncbi.nlm.nih.gov/substance/3856	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17378			
2	Dihydroxyacetone	DHA	Dihydroxyacetone	Ketose	Triose	90.08	C3H6O3	a	4	1	https://www.genome.jp/entry/C00184	https://pubchem.ncbi.nlm.nih.gov/substance/3484	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16016			
3	Threose	Thr	Threose	Aldose	Tetrose	120.1	C4H8O4	a	1	2	https://www.genome.jp/entry/C06463	https://pubchem.ncbi.nlm.nih.gov/substance/8695	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28587			
4	Erythrose	Ery	Erythrose	Aldose	Tetrose	120.1	C4H8O4	a	2	2	https://www.genome.jp/entry/C01796	https://pubchem.ncbi.nlm.nih.gov/substance/4923	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27904			
5	Erythrulose	Eru	Erythrulose	Ketose	Tetrose	120.1	C4H8O4	a	4	2	https://www.genome.jp/entry/C02022	https://pubchem.ncbi.nlm.nih.gov/substance/5117	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16023			
6	Ribose	Rib	Ribose	Aldose	Pentose	150.13	C5H10O5	a	1	3	https://www.genome.jp/entry/C00121	https://pubchem.ncbi.nlm.nih.gov/substance/3421	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:47013			
7	Xylose	Xyl	Xylose	Aldose	Pentose	150.13	C5H10O5	a	2	3	https://www.genome.jp/entry/C00181	https://pubchem.ncbi.nlm.nih.gov/substance/3481	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:53455			
8	Apiose	Api	Apiose	Aldose	Pentose	150.13	C5H10O5	a	3	3	https://www.genome.jp/entry/C01488	https://pubchem.ncbi.nlm.nih.gov/substance/254816265	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:141215			
9	Ribulose	Ribu	Ribulose	Ketose	Pentose	150.13	C5H10O5	a	4	3	https://www.genome.jp/entry/C00309	https://pubchem.ncbi.nlm.nih.gov/substance/3603	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17173			
10	Xylulose	Xylu	Xylulose	Ketose	Pentose	150.13	C5H10O5	a	5	3	https://www.genome.jp/entry/C00310	https://pubchem.ncbi.nlm.nih.gov/substance/3604	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17140			
11	2-Deoxyribose	dRib	2-Deoxyribose	Deoxysugar	Pentose	134.13	C5H10O4	a	21	3	https://www.genome.jp/entry/C01801	https://pubchem.ncbi.nlm.nih.gov/substance/4927	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28816			
12	Arabinose	Ara	Arabinose	Aldose	Pentose	150.13	C5H10O5	a	1	4	https://www.genome.jp/entry/C00216	https://pubchem.ncbi.nlm.nih.gov/substance/3516	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17108			
13	Lyxose	Lyx	Lyxose	Aldose	Pentose	150.13	C5H10O5	a	2	4	https://www.genome.jp/entry/C00476	https://pubchem.ncbi.nlm.nih.gov/substance/3759	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:82838			
14	2-Deoxy-L-arabinose	dAra	2-Deoxy-L-arabinose	Deoxysugar	Pentose	134.13	C5H10O4	a	20	4	https://www.genome.jp/entry/C02783	https://pubchem.ncbi.nlm.nih.gov/substance/5734	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27816			
15	2-Deoxyxylose	dXyl	2-Deoxyxylose	Deoxysugar	Pentose	134.13	C5H10O4	a	21	4						
16	Glucose	Glc	D-Glucopyranose	Aldose	Hexose	180.16	C6H12O6	a	1	5	https://www.genome.jp/entry/C00031	https://pubchem.ncbi.nlm.nih.gov/substance/3333	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4167	https://www.glygen.org/glycan/G15021LG	https://glyconnect.expasy.org/browser/structures/534	
17	Galactose	Gal	Galactose	Aldose	Hexose	180.16	C6H12O6	a	2	5	https://www.genome.jp/entry/C00124	https://pubchem.ncbi.nlm.nih.gov/substance/3424	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4139			
18	Mannose	Man	Mannose	Aldose	Hexose	180.16	C6H12O6	a	3	5	https://www.genome.jp/entry/C00159	https://pubchem.ncbi.nlm.nih.gov/substance/3459	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4208			
19	Fructose	Fru	Fructose	Ketose	Hexose	180.16	C6H12O6	a	4	5	https://www.genome.jp/entry/C00095	https://pubchem.ncbi.nlm.nih.gov/substance/3395	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15824			
20	Psicose	Psi	Psicose	Ketose	Hexose	180.16	C6H12O6	a	5	5	https://www.genome.jp/entry/C06468	https://pubchem.ncbi.nlm.nih.gov/substance/8700	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27605			
